tag	count	related
skirt	1273613	
pleated skirt	423601	
shorts	367026	
pants	285685	
miniskirt	227678	
short shorts	130056	
plaid skirt	78073	
frilled skirt	63732	
pelvic curtain	48006	
bike shorts	40658	
pencil skirt	35701	
high-waist skirt	35507	
denim shorts	30367	
long skirt	28259	
hakama skirt	28125	
buruma	26738	
jeans	21917	
suspender skirt	18418	
microskirt	18306	
bloomers	17993	
petticoat	16083	
micro shorts	12028	
layered skirt	11878	
cutoffs	10291	
hakama short skirt	9822	
dolphin shorts	9198	
showgirl skirt	8252	
shorts under skirt	8144	
medium skirt	5900	
tight pants	5871	
loincloth	5776	
baggy pants	5116	
gym shorts	5066	
bubble skirt	4664	
yoga pants	4547	
overskirt	3435	
capri pants	2695	
sweatpants	2266	
chaps	2232	
harem pants	1719	
hakama pants	1660	
kimono skirt	1288	
pants rolled up	1275	
high-low skirt	1227	
lowleg pants	1214	
half-skirt	1109	
pelvic curtain lift	1007	
lowleg skirt	899	
cargo pants	874	
overall skirt	785	
side-tie skirt	661	
belt skirt	649	
lowleg shorts	584	
two-tone pants	510	
detached pants	482	
bell-bottoms	430	
cutoff jeans	387	
adjusting shorts	134	
loincloth lift	111	
adjusting skirt	107	
fishnet skirt		
kilt		
sweatpant		
